our_id	our_name	kind	owned	current_bgg_id	verdict	proposed_bgg_id	bgg_name	bgg_year	bgg_publisher	bgg_type	our_year	our_publisher	score	score_components	evidence_url	note	near_miss_rejected	sibling_risk
56	Magic Number	base	yes	432512	SUSPECT		Magic Number: The Party Game of Wild Guesstimation	2025	(Self-Published)	boardgame	2025	Magic Number Games		name similarity 0.4 (below 0.7); year exact (2025); publisher absent from BGG list (ours "Magic Number Games", BGG "(Self-Published)"); kind base ~ BGG boardgame; sole candidate id in the search	https://boardgamegeek.com/boardgame/432512	PUBLISHER: ours "Magic Number Games" appears nowhere in BGG's 1 publisher links (BGG lists "(Self-Published)") | title differs by a subtitle: BGG says "Magic Number: The Party Game of Wild Guesstimation" (similarity 0.4)		
57	Qwirkle	base	yes	25669	CONFIRMED		Qwirkle	2006	MindWare	boardgame	2006	MindWare	0.96	name exact (normalised); year exact (2006); publisher exact (MindWare); kind base ~ BGG boardgame; sole candidate id in the search	https://boardgamegeek.com/boardgame/25669			
58	The Castles of Burgundy	base	yes	271320	CONFIRMED		The Castles of Burgundy	2019	alea	boardgame	2019	Ravensburger	0.92	name exact (normalised); year exact (2019); publisher partial (Ravensburger ~ BGG list); kind base ~ BGG boardgame; sole candidate id in the search	https://boardgamegeek.com/boardgame/271320			
59	Mysterium	base	yes	181304	CONFIRMED		Mysterium	2015	Libellud	boardgame	2015	Libellud	0.96	name exact (normalised); year exact (2015); publisher exact (Libellud); kind base ~ BGG boardgame; sole candidate id in the search	https://boardgamegeek.com/boardgame/181304			
60	Aeon's End: Outcasts	expansion	yes	299317	CONFIRMED		Aeon's End: Outcasts	2020	Indie Boards & Cards	boardgame	2020	Indie Boards & Cards	0.89	name exact (normalised); year exact (2020); publisher exact (Indie Boards & Cards); kind expansion vs BGG base game that HAS expansions/accessories (family trap shape); sole candidate id in the search	https://boardgamegeek.com/boardgame/299317	kind: we say expansion, BGG types it boardgame		
61	Renegade	base	yes	170604	CONFIRMED		Renegade	2018	Victory Point Games	boardgame	2018	Victory Point Games	0.96	name exact (normalised); year exact (2018); publisher exact (Victory Point Games); kind base ~ BGG boardgame; sole candidate id in the search	https://boardgamegeek.com/boardgame/170604			
62	Sheriff of Nottingham	base	yes	157969	CONFIRMED		Sheriff of Nottingham	2014	Arcane Wonders	boardgame	2014	Arcane Wonders	0.96	name exact (normalised); year exact (2014); publisher exact (Arcane Wonders); kind base ~ BGG boardgame; sole candidate id in the search	https://boardgamegeek.com/boardgame/157969			
63	Betrayal at House on the Hill	base	yes	10547	CONFIRMED		Betrayal at House on the Hill	2004	Avalon Hill	boardgame	2004	Avalon Hill	0.96	name exact (normalised); year exact (2004); publisher exact (Avalon Hill); kind base ~ BGG boardgame; sole candidate id in the search	https://boardgamegeek.com/boardgame/10547			
64	Azul	base	yes	230802	CONFIRMED		Azul	2017	Next Move Games	boardgame	2017	Plan B Games	0.96	name exact (normalised); year exact (2017); publisher exact (Plan B Games); kind base ~ BGG boardgame; sole candidate id in the search	https://boardgamegeek.com/boardgame/230802			
65	Mistborn: The Deckbuilding Game	base	yes	422780	CONFIRMED		Mistborn: The Deckbuilding Game	2024	Brotherwise Games	boardgame	2024	Brotherwise Games	0.96	name exact (normalised); year exact (2024); publisher exact (Brotherwise Games); kind base ~ BGG boardgame; sole candidate id in the search	https://boardgamegeek.com/boardgame/422780			
66	Taverns & Dragons	base	yes	339473	CONFIRMED		Taverns & Dragons	2023	Board Zeppelin	boardgame	2023	Lord Raccoon Games	0.96	name exact (normalised); year exact (2023); publisher exact (Lord Raccoon Games); kind base ~ BGG boardgame; sole candidate id in the search	https://boardgamegeek.com/boardgame/339473			
67	Splendor Duel	base	yes	364073	CONFIRMED		Splendor Duel	2022	Space Cowboys	boardgame	2022	Space Cowboys	0.96	name exact (normalised); year exact (2022); publisher exact (Space Cowboys); kind base ~ BGG boardgame; sole candidate id in the search	https://boardgamegeek.com/boardgame/364073			
68	Savage	base	yes	360259	SUSPECT		Savage: A Game of Survival	2023	Grinly Games	boardgame	2023	Grinley Games		name similarity 0.4 (below 0.7); year exact (2023); publisher absent from BGG list (ours "Grinley Games", BGG "Grinly Games"); kind base ~ BGG boardgame; sole candidate id in the search	https://boardgamegeek.com/boardgame/360259	PUBLISHER: ours "Grinley Games" appears nowhere in BGG's 1 publisher links (BGG lists "Grinly Games") | title differs by a subtitle: BGG says "Savage: A Game of Survival" (similarity 0.4)		
69	Tiny Epic Galaxies: Beyond the Black	base	yes	200544	CONFIRMED		Tiny Epic Galaxies: Beyond the Black	2017	Gamelyn Games	boardgameexpansion	2017	Gamelyn Games	0.89	name exact (normalised); year exact (2017); publisher exact (Gamelyn Games); kind base vs BGG boardgameexpansion; sole candidate id in the search	https://boardgamegeek.com/boardgame/200544	kind: we say base, BGG types it boardgameexpansion		
70	Deep Rock Galactic: Space Rig Expansion	expansion	yes	401797	CONFIRMED		Deep Rock Galactic: Space Rig Expansion	2024	MOOD Publishing	boardgameexpansion	2024	MOOD Publishing	0.96	name exact (normalised); year exact (2024); publisher exact (MOOD Publishing); kind expansion ~ BGG boardgameexpansion; sole candidate id in the search	https://boardgamegeek.com/boardgame/401797			
71	Deep Rock Galactic: Biome Expansion	expansion	yes	401798	CONFIRMED		Deep Rock Galactic: Biome Expansion	2024	MOOD Publishing	boardgameexpansion	2024	MOOD Publishing	0.96	name exact (normalised); year exact (2024); publisher exact (MOOD Publishing); kind expansion ~ BGG boardgameexpansion; sole candidate id in the search	https://boardgamegeek.com/boardgame/401798			
72	Deep Rock Galactic: The Board Game – Goo From Above Miniature Expansion	expansion	yes	369083	CONFIRMED		Deep Rock Galactic: The Board Game –  Goo From Above Miniature Expansion	2022	MOOD Publishing	boardgameexpansion	2022	MOOD Publishing	0.96	name exact (normalised); year exact (2022); publisher exact (MOOD Publishing); kind expansion ~ BGG boardgameexpansion; sole candidate id in the search	https://boardgamegeek.com/boardgame/369083			
74	Scythe: Invaders from Afar	expansion	yes	199727	CONFIRMED		Scythe: Invaders from Afar	2016	Stonemaier Games	boardgameexpansion	2016	Stonemaier Games	0.96	name exact (normalised); year exact (2016); publisher exact (Stonemaier Games); kind expansion ~ BGG boardgameexpansion; sole candidate id in the search	https://boardgamegeek.com/boardgame/199727			
75	Scythe: The Wind Gambit	expansion	yes	223555	CONFIRMED		Scythe: The Wind Gambit	2017	Stonemaier Games	boardgameexpansion	2017	Stonemaier Games	0.96	name exact (normalised); year exact (2017); publisher exact (Stonemaier Games); kind expansion ~ BGG boardgameexpansion; sole candidate id in the search	https://boardgamegeek.com/boardgame/223555			
76	Scythe: The Rise of Fenris	expansion	yes	242277	CONFIRMED		Scythe: The Rise of Fenris	2018	Stonemaier Games	boardgameexpansion	2018	Stonemaier Games	0.96	name exact (normalised); year exact (2018); publisher exact (Stonemaier Games); kind expansion ~ BGG boardgameexpansion; sole candidate id in the search	https://boardgamegeek.com/boardgame/242277			
77	Catan: 5-6 Player Extension	expansion	yes	2807	CONFIRMED		Catan: 5-6 Player Expansion	1996	KOSMOS	boardgameexpansion	1996	Catan Studio	0.91	alternate-name exact ("Catan: 5-6 Player Extension"); year exact (1996); publisher exact (Catan Studio); kind expansion ~ BGG boardgameexpansion; sole candidate id in the search	https://boardgamegeek.com/boardgame/2807			
78	CATAN: Starfarers	base	yes	282853	CONFIRMED		Catan: Starfarers	2019	Catan Studio	boardgame	2019	Catan Studio	0.96	name exact (normalised); year exact (2019); publisher exact (Catan Studio); kind base ~ BGG boardgame; sole candidate id in the search	https://boardgamegeek.com/boardgame/282853			
79	Moon: Valkyrie Expansion	expansion	yes	382957	CONFIRMED		Moon: Valkyrie Expansion	2023	Sinister Fish Games	boardgameexpansion	2023	Sinister Fish Games	0.96	name exact (normalised); year exact (2023); publisher exact (Sinister Fish Games); kind expansion ~ BGG boardgameexpansion; sole candidate id in the search	https://boardgamegeek.com/boardgame/382957			
80	Catan: Starfarers – 5-6 Player Extension	expansion	yes	316229	CONFIRMED		Catan: Starfarers – 5-6 Player Extension	2020	Catan Studio	boardgameexpansion	2020	Catan Studio	0.96	name exact (normalised); year exact (2020); publisher exact (Catan Studio); kind expansion ~ BGG boardgameexpansion; sole candidate id in the search	https://boardgamegeek.com/boardgame/316229			
81	Catan: Cities & Knights	expansion	yes	926	CONFIRMED		Catan: Cities & Knights	1998	KOSMOS	boardgameexpansion	1998	Catan Studio	0.96	name exact (normalised); year exact (1998); publisher exact (Catan Studio); kind expansion ~ BGG boardgameexpansion; sole candidate id in the search	https://boardgamegeek.com/boardgame/926			
82	Betrayal at House on the Hill: Widow's Walk	expansion	yes	198452	CONFIRMED		Betrayal at House on the Hill: Widow's Walk	2016	Avalon Hill	boardgameexpansion	2016	Avalon Hill	0.96	name exact (normalised); year exact (2016); publisher exact (Avalon Hill); kind expansion ~ BGG boardgameexpansion; sole candidate id in the search	https://boardgamegeek.com/boardgame/198452			
83	Cult of the Lamb: The Board Game	base	no	474766	CONFIRMED		Cult of the Lamb: The Board Game	2027	Devolver Digital	boardgame	2027	Devolver Digital	0.96	name exact (normalised); year exact (2027); publisher exact (Devolver Digital); kind base ~ BGG boardgame; sole candidate id in the search	https://boardgamegeek.com/boardgame/474766			
84	Slay the Spire: The Board Game – Downfall	expansion	no	454971	CONFIRMED		Slay the Spire: The Board Game – Downfall	2026	Contention Games	boardgameexpansion	2026	Contention Games	0.96	name exact (normalised); year exact (2026); publisher exact (Contention Games); kind expansion ~ BGG boardgameexpansion; sole candidate id in the search	https://boardgamegeek.com/boardgame/454971			
85	Don't Starve: The Board Game	base	no	418146	CONFIRMED		Don't Starve: The Board Game	2027	Glass Cannon Unplugged	boardgame	2027	Glass Cannon Unplugged	0.96	name exact (normalised); year exact (2027); publisher exact (Glass Cannon Unplugged); kind base ~ BGG boardgame; sole candidate id in the search	https://boardgamegeek.com/boardgame/418146			
86	Super Boss Monster 2	base	no	448284	CONFIRMED		Super Boss Monster II: The Die is Cast	2026	Brotherwise Games	boardgame	2026	Brotherwise Games	0.05	name similarity 0.55 (below 0.7); year exact (2026); publisher exact (Brotherwise Games); kind base ~ BGG boardgame; sole candidate id in the search	https://boardgamegeek.com/boardgame/448284	title differs by a subtitle: BGG says "Super Boss Monster II: The Die is Cast" (similarity 0.55)		
87	Honor's End	base	no	452858	CONFIRMED		Honor's End	2027	IV Studio	boardgame	2027	IV Studio	0.96	name exact (normalised); year exact (2027); publisher exact (IV Studio); kind base ~ BGG boardgame; sole candidate id in the search	https://boardgamegeek.com/boardgame/452858			
88	Dice Throne Vanguard	base	yes	453942	CONFIRMED		Dice Throne: Vanguard	2026	Dice Throne, Inc.	boardgame	2026	Dice Throne, Inc.	0.96	name exact (normalised); year exact (2026); publisher exact (Dice Throne, Inc.); kind base ~ BGG boardgame; sole candidate id in the search	https://boardgamegeek.com/boardgame/453942			
89	Risk of Rain: The Board Game	base	no	450574	CONFIRMED		Risk of Rain: The Board Game	2026	Nerdvana Games	boardgame	2026	Nerdvana Games	0.96	name exact (normalised); year exact (2026); publisher exact (Nerdvana Games); kind base ~ BGG boardgame; sole candidate id in the search	https://boardgamegeek.com/boardgame/450574			
90	Deep Rock Galactic: Rival Incursion	expansion	yes		PROPOSED	450336	Deep Rock Galactic: Rival Incursion	2026	MOOD Publishing	boardgameexpansion		MOOD Publishing	1	name exact (normalised); year unknown one side; publisher exact (MOOD Publishing); kind expansion ~ BGG boardgameexpansion; listed as an expansion/accessory of the parent id we already hold	https://boardgamegeek.com/boardgame/450336		rejected 474537 "Deep Rock Galactic: Rival Incursion – Acrylic Tokens" (?) — same family, different product (isFragmentOf)	
91	Scales of Fate	base	yes	437356	CONFIRMED		Scales of Fate	2025	IV Studio	boardgame	2025	IV Studio	0.96	name exact (normalised); year exact (2025); publisher exact (IV Studio); kind base ~ BGG boardgame; sole candidate id in the search	https://boardgamegeek.com/boardgame/437356			
92	Dice Throne: Outcasts	base	yes	431582	CONFIRMED		Dice Throne: Outcasts	2025	Dice Throne, Inc.	boardgame	2025	Dice Throne, Inc.	0.96	name exact (normalised); year exact (2025); publisher exact (Dice Throne, Inc.); kind base ~ BGG boardgame; sole candidate id in the search	https://boardgamegeek.com/boardgame/431582			
93	Tend	base	yes	427388	CONFIRMED		Tend	2025	IV Studio	boardgame	2025	IV Studio	0.96	name exact (normalised); year exact (2025); publisher exact (IV Studio); kind base ~ BGG boardgame; sole candidate id in the search	https://boardgamegeek.com/boardgame/427388			
94	Twisted Cryptids	base	yes	429840	CONFIRMED		Twisted Cryptids	2025	Unstable Games	boardgame	2025	Unstable Games	0.96	name exact (normalised); year exact (2025); publisher exact (Unstable Games); kind base ~ BGG boardgame; sole candidate id in the search	https://boardgamegeek.com/boardgame/429840			
95	Super Boss Monster	base	yes	415524	CONFIRMED		Super Boss Monster	2025	Brotherwise Games	boardgame	2025	Brotherwise Games	0.96	name exact (normalised); year exact (2025); publisher exact (Brotherwise Games); kind base ~ BGG boardgame; sole candidate id in the search	https://boardgamegeek.com/boardgame/415524			
96	Dice Throne: X-Men	base	yes	403494	CONFIRMED		Marvel Dice Throne: X-Men	2025	Dice Throne, Inc.	boardgame	2025	Dice Throne, Inc.	0.78	name similarity 0.86; year exact (2025); publisher exact (Dice Throne, Inc.); kind base ~ BGG boardgame; sole candidate id in the search	https://boardgamegeek.com/boardgame/403494	title differs by a subtitle: BGG says "Marvel Dice Throne: X-Men" (similarity 0.86)		
97	Command of Nature	base	yes	390422	CONFIRMED		Command of Nature	2024	ADC Blackfire Entertainment	boardgame	2024	ADC Blackfire Entertainment	0.96	name exact (normalised); year exact (2024); publisher exact (ADC Blackfire Entertainment); kind base ~ BGG boardgame; sole candidate id in the search	https://boardgamegeek.com/boardgame/390422			
98	Moon	base	yes	358386	CONFIRMED		Moon	2023	Sinister Fish Games	boardgame	2023	Sinister Fish Games	0.96	name exact (normalised); year exact (2023); publisher exact (Sinister Fish Games); kind base ~ BGG boardgame; sole candidate id in the search	https://boardgamegeek.com/boardgame/358386			
100	Moonrakers: Titan Edition	base	yes	438924	CONFIRMED		Moonrakers: Titan Edition	2023	IV Studio	boardgame	2023	IV Studio	0.96	name exact (normalised); year exact (2023); publisher exact (IV Studio); kind base ~ BGG boardgame; sole candidate id in the search	https://boardgamegeek.com/boardgame/438924			
101	Casting Shadows	base	yes	359502	CONFIRMED		Casting Shadows	2023	Unstable Games	boardgame	2023	Unstable Games	0.96	name exact (normalised); year exact (2023); publisher exact (Unstable Games); kind base ~ BGG boardgame; sole candidate id in the search	https://boardgamegeek.com/boardgame/359502			
102	Tidal Blades 2: Rise of the Unfolders	base	yes	233261	CONFIRMED		Tidal Blades 2: Rise of the Unfolders	2024	Druid City Games	boardgame	2024	Druid City Games	0.96	name exact (normalised); year exact (2024); publisher exact (Druid City Games); kind base ~ BGG boardgame; sole candidate id in the search	https://boardgamegeek.com/boardgame/233261			
103	Divine Dungeon the Game	base	yes		UNMATCHED						2022	Mountaindale Press		1 candidate(s) found, none the same product		1 candidate(s) found, none the same product	rejected 233099 "Super Dungeon Explore: Takoashi University – House Unicorn Diviner" (2017) — similarity 0.17 < 0.7	
104	Dice Throne: Santa vs Krampus	base	yes	366310	CONFIRMED		Dice Throne: Santa v. Krampus	2022	Roxley	boardgame	2022	Roxley	0.78	name similarity 0.89; year exact (2022); publisher exact (Roxley); kind base ~ BGG boardgame; sole candidate id in the search	https://boardgamegeek.com/boardgame/366310	title differs by a subtitle: BGG says "Dice Throne: Santa v. Krampus" (similarity 0.89)		
105	Deep Rock Galactic: The Board Game	base	yes	348220	CONFIRMED		Deep Rock Galactic: The Board Game	2022	MOOD Publishing	boardgame	2022	MOOD Publishing	0.96	name exact (normalised); year exact (2022); publisher exact (MOOD Publishing); kind base ~ BGG boardgame; sole candidate id in the search	https://boardgamegeek.com/boardgame/348220			
106	The Binding of Isaac: Four Souls Requiem	expansion	yes	336844	CONFIRMED		The Binding of Isaac: Four Souls Requiem	2023	Maestro Media	boardgameexpansion	2023	Maestro Media	0.96	name exact (normalised); year exact (2023); publisher exact (Maestro Media); kind expansion ~ BGG boardgameexpansion; sole candidate id in the search	https://boardgamegeek.com/boardgame/336844			
107	Here to Slay	base	yes	299252	CONFIRMED		Here to Slay	2020	TeeTurtle	boardgame	2020	TeeTurtle	0.96	name exact (normalised); year exact (2020); publisher exact (TeeTurtle); kind base ~ BGG boardgame; sole candidate id in the search	https://boardgamegeek.com/boardgame/299252			
108	The Binding of Isaac: Four Souls	base	yes	255664	CONFIRMED		The Binding of Isaac: Four Souls	2018	Maestro Media	boardgame	2018	Maestro Media	0.96	name exact (normalised); year exact (2018); publisher exact (Maestro Media); kind base ~ BGG boardgame; sole candidate id in the search	https://boardgamegeek.com/boardgame/255664			
109	Terraria: The Board Game	base	yes	391286	CONFIRMED		Terraria: The Board Game	2026	Paper Fort Games	boardgame	2026	Paper Fort Games	0.96	name exact (normalised); year exact (2026); publisher exact (Paper Fort Games); kind base ~ BGG boardgame; sole candidate id in the search	https://boardgamegeek.com/boardgame/391286			
110	Realm of Reckoning	base	yes	446893	CONFIRMED		Realm of Reckoning	2026	IV Studio	boardgame	2026	IV Studio	0.96	name exact (normalised); year exact (2026); publisher exact (IV Studio); kind base ~ BGG boardgame; sole candidate id in the search	https://boardgamegeek.com/boardgame/446893			
111	Boss Monster Junior	base	no	448286	CONFIRMED		Boss Monster Junior	2026	Brotherwise Games	boardgame	2026	Brotherwise Games	0.96	name exact (normalised); year exact (2026); publisher exact (Brotherwise Games); kind base ~ BGG boardgame; sole candidate id in the search	https://boardgamegeek.com/boardgame/448286			
112	Pillars of Fate	base	yes	440941	CONFIRMED		Pillars of Fate	2025	IV Studio	boardgame	2025	IV Studio	0.96	name exact (normalised); year exact (2025); publisher exact (IV Studio); kind base ~ BGG boardgame; sole candidate id in the search	https://boardgamegeek.com/boardgame/440941			
113	Boss Monster 10th Anniversary Edition	base	yes	386660	CONFIRMED		Boss Monster: 10th Anniversary Edition	2023	Brotherwise Games	boardgame	2023	Brotherwise Games	0.96	name exact (normalised); year exact (2023); publisher exact (Brotherwise Games); kind base ~ BGG boardgame; sole candidate id in the search	https://boardgamegeek.com/boardgame/386660			
114	Dice Throne: Deadpool Box Deluxe Edition	base	yes	403511	SUSPECT		Marvel Dice Throne: Deadpool	2025	Roxley	boardgameexpansion	2025	Roxley		name similarity 0.6 (below 0.7); year exact (2025); publisher exact (Roxley); kind base vs BGG boardgameexpansion; sole candidate id in the search	https://boardgamegeek.com/boardgame/403511	NAME: similarity 0.6 — we say "Dice Throne: Deadpool Box Deluxe Edition", BGG says "Marvel Dice Throne: Deadpool" | kind: we say base, BGG types it boardgameexpansion		
115	Marvel Dice Throne: Missions	base	yes	403495	CONFIRMED		Marvel Dice Throne: Missions	2025	Roxley	boardgameexpansion	2025	Roxley	0.89	name exact (normalised); year exact (2025); publisher exact (Roxley); kind base vs BGG boardgameexpansion; sole candidate id in the search	https://boardgamegeek.com/boardgame/403495	kind: we say base, BGG types it boardgameexpansion		
116	Tidal Blades: Cypher System RPG Corebook	base	yes		UNMATCHED						2024	Allplay		11 candidate(s) found, none the same product		11 candidate(s) found, none the same product	rejected 475403 "Tidal Blades 2: Wardian Sky" (2027) — similarity 0.4 < 0.7	
117	Excursion Tiles 1	accessory	no		UNMATCHED						2024	Xykit		no search results at any rung of the ladder		no search results at any rung of the ladder		
118	Excursion Tiles 2	accessory	no		UNMATCHED						2026	Xykit		no search results at any rung of the ladder		no search results at any rung of the ladder		
119	Cult of the Lamb: Multicolour Prophet and Bishop Miniatures	accessory	no		UNMATCHED									2 candidate(s) found, none the same product		2 candidate(s) found, none the same product	rejected 474766 "Cult of the Lamb: The Board Game" (2027) — same family, different product (isFragmentOf)	
120	Cult of the Lamb: Lamb Shrine Dice Tower	accessory	no		PROPOSED	418010	Knucklebones: Cult of the Lamb Dice Game	2023	Massive Monster	boardgame			0.43	name similarity 0.71; year unknown one side; publisher unknown one side; kind accessory vs BGG boardgame; 2 candidate ids	https://boardgamegeek.com/boardgame/418010		rejected 474766 "Cult of the Lamb: The Board Game" (2027) — same family, different product (isFragmentOf)	
121	Cult of the Lamb: Main Board Playmat	accessory	no		UNMATCHED									2 candidate(s) found, none the same product		2 candidate(s) found, none the same product	rejected 435025 "Revenant: Main Board Playmat" (2025) — similarity 0.55 < 0.7	
122	Cult of the Lamb: Neoprene Enemy Boards	accessory	no		UNMATCHED									2 candidate(s) found, none the same product		2 candidate(s) found, none the same product	rejected 474766 "Cult of the Lamb: The Board Game" (2027) — same family, different product (isFragmentOf)	
123	Cult of the Lamb: Prophet Dice Trays	accessory	no		PROPOSED	418010	Knucklebones: Cult of the Lamb Dice Game	2023	Massive Monster	boardgame			0.43	name similarity 0.71; year unknown one side; publisher unknown one side; kind accessory vs BGG boardgame; 2 candidate ids	https://boardgamegeek.com/boardgame/418010		rejected 474766 "Cult of the Lamb: The Board Game" (2027) — same family, different product (isFragmentOf)	
124	Cult of the Lamb: Acrylic Decoration Token Pack	accessory	no		UNMATCHED									2 candidate(s) found, none the same product		2 candidate(s) found, none the same product	rejected 474766 "Cult of the Lamb: The Board Game" (2027) — same family, different product (isFragmentOf)	
125	Cult of the Lamb: Blessed Droppings Pack	accessory	no		UNMATCHED									2 candidate(s) found, none the same product		2 candidate(s) found, none the same product	rejected 474766 "Cult of the Lamb: The Board Game" (2027) — same family, different product (isFragmentOf)	
126	Cult of the Lamb: Tote Bag	accessory	no		UNMATCHED									2 candidate(s) found, none the same product		2 candidate(s) found, none the same product	rejected 474766 "Cult of the Lamb: The Board Game" (2027) — same family, different product (isFragmentOf)	
